Date_reported, Country_code, Country, WHO_region, New_cases, Cumulative_cases, New_deaths, Cumulative_deaths
08-03-2020,BD,Bangladesh,SEARO,7,7,0,0
09-03-2020,BD,Bangladesh,SEARO,0,7,0,0
10-03-2020,BD,Bangladesh,SEARO,0,7,0,0
11-03-2020,BD,Bangladesh,SEARO,0,7,0,0
12-03-2020,BD,Bangladesh,SEARO,0,7,0,0
13-03-2020,BD,Bangladesh,SEARO,0,7,0,0
14-03-2020,BD,Bangladesh,SEARO,0,7,0,0
15-03-2020,BD,Bangladesh,SEARO,0,7,0,0
16-03-2020,BD,Bangladesh,SEARO,5,12,0,0
17-03-2020,BD,Bangladesh,SEARO,0,12,0,0
18-03-2020,BD,Bangladesh,SEARO,2,14,0,0
19-03-2020,BD,Bangladesh,SEARO,3,17,1,1
20-03-2020,BD,Bangladesh,SEARO,0,17,0,1
21-03-2020,BD,Bangladesh,SEARO,7,24,1,2
22-03-2020,BD,Bangladesh,SEARO,0,24,0,2
23-03-2020,BD,Bangladesh,SEARO,3,27,0,2
24-03-2020,BD,Bangladesh,SEARO,12,39,2,4
25-03-2020,BD,Bangladesh,SEARO,0,39,0,4
26-03-2020,BD,Bangladesh,SEARO,5,44,1,5
27-03-2020,BD,Bangladesh,SEARO,4,48,0,5
28-03-2020,BD,Bangladesh,SEARO,0,48,0,5
29-03-2020,BD,Bangladesh,SEARO,0,48,0,5
30-03-2020,BD,Bangladesh,SEARO,1,49,0,5
31-03-2020,BD,Bangladesh,SEARO,0,49,0,5
01-04-2020,BD,Bangladesh,SEARO,5,54,1,6
02-04-2020,BD,Bangladesh,SEARO,2,56,0,6
03-04-2020,BD,Bangladesh,SEARO,5,61,0,6
04-04-2020,BD,Bangladesh,SEARO,9,70,2,8
05-04-2020,BD,Bangladesh,SEARO,18,88,0,8
06-04-2020,BD,Bangladesh,SEARO,35,123,4,12
07-04-2020,BD,Bangladesh,SEARO,41,164,5,17
08-04-2020,BD,Bangladesh,SEARO,54,218,3,20
09-04-2020,BD,Bangladesh,SEARO,112,330,1,21
10-04-2020,BD,Bangladesh,SEARO,94,424,6,27
11-04-2020,BD,Bangladesh,SEARO,58,482,3,30
12-04-2020,BD,Bangladesh,SEARO,139,621,4,34
13-04-2020,BD,Bangladesh,SEARO,182,803,5,39
14-04-2020,BD,Bangladesh,SEARO,209,1012,7,46
15-04-2020,BD,Bangladesh,SEARO,219,1231,4,50
16-04-2020,BD,Bangladesh,SEARO,341,1572,10,60
17-04-2020,BD,Bangladesh,SEARO,266,1838,15,75
18-04-2020,BD,Bangladesh,SEARO,306,2144,9,84
19-04-2020,BD,Bangladesh,SEARO,312,2456,7,91
20-04-2020,BD,Bangladesh,SEARO,492,2948,10,101
21-04-2020,BD,Bangladesh,SEARO,434,3382,9,110
22-04-2020,BD,Bangladesh,SEARO,390,3772,10,120
23-04-2020,BD,Bangladesh,SEARO,414,4186,7,127
24-04-2020,BD,Bangladesh,SEARO,503,4689,4,131
25-04-2020,BD,Bangladesh,SEARO,309,4998,9,140
26-04-2020,BD,Bangladesh,SEARO,418,5416,5,145
27-04-2020,BD,Bangladesh,SEARO,497,5913,7,152
28-04-2020,BD,Bangladesh,SEARO,549,6462,3,155
29-04-2020,BD,Bangladesh,SEARO,641,7103,8,163
30-04-2020,BD,Bangladesh,SEARO,564,7667,5,168
01-05-2020,BD,Bangladesh,SEARO,571,8238,2,170
02-05-2020,BD,Bangladesh,SEARO,552,8790,5,175
03-05-2020,BD,Bangladesh,SEARO,665,9455,2,177
04-05-2020,BD,Bangladesh,SEARO,688,10143,5,182
