Date_reported, Country_code, Country, WHO_region, New_cases, Cumulative_cases, New_deaths, Cumulative_deaths
26-02-2020,PK,Pakistan,EMRO,6,6,0,0
27-02-2020,PK,Pakistan,EMRO,0,6,0,0
28-02-2020,PK,Pakistan,EMRO,0,6,0,0
29-02-2020,PK,Pakistan,EMRO,2,8,0,0
01-03-2020,PK,Pakistan,EMRO,0,8,0,0
02-03-2020,PK,Pakistan,EMRO,1,9,0,0
03-03-2020,PK,Pakistan,EMRO,0,9,0,0
04-03-2020,PK,Pakistan,EMRO,0,9,0,0
05-03-2020,PK,Pakistan,EMRO,0,9,0,0
06-03-2020,PK,Pakistan,EMRO,0,9,0,0
07-03-2020,PK,Pakistan,EMRO,0,9,0,0
08-03-2020,PK,Pakistan,EMRO,1,10,0,0
09-03-2020,PK,Pakistan,EMRO,0,10,0,0
10-03-2020,PK,Pakistan,EMRO,10,20,0,0
11-03-2020,PK,Pakistan,EMRO,3,23,0,0
12-03-2020,PK,Pakistan,EMRO,1,24,0,0
13-03-2020,PK,Pakistan,EMRO,0,24,0,0
14-03-2020,PK,Pakistan,EMRO,8,32,0,0
15-03-2020,PK,Pakistan,EMRO,24,56,0,0
16-03-2020,PK,Pakistan,EMRO,1,57,0,0
17-03-2020,PK,Pakistan,EMRO,134,191,0,0
18-03-2020,PK,Pakistan,EMRO,54,245,0,0
19-03-2020,PK,Pakistan,EMRO,61,306,2,2
20-03-2020,PK,Pakistan,EMRO,155,461,0,2
21-03-2020,PK,Pakistan,EMRO,34,495,1,3
22-03-2020,PK,Pakistan,EMRO,151,646,0,3
23-03-2020,PK,Pakistan,EMRO,138,784,2,5
24-03-2020,PK,Pakistan,EMRO,103,887,1,6
25-03-2020,PK,Pakistan,EMRO,104,991,1,7
26-03-2020,PK,Pakistan,EMRO,66,1057,1,8
27-03-2020,PK,Pakistan,EMRO,140,1197,1,9
28-03-2020,PK,Pakistan,EMRO,211,1408,2,11
29-03-2020,PK,Pakistan,EMRO,118,1526,2,13
30-03-2020,PK,Pakistan,EMRO,99,1625,5,18
31-03-2020,PK,Pakistan,EMRO,240,1865,7,25
01-04-2020,PK,Pakistan,EMRO,174,2039,1,26
02-04-2020,PK,Pakistan,EMRO,252,2291,5,31
03-04-2020,PK,Pakistan,EMRO,159,2450,4,35
04-04-2020,PK,Pakistan,EMRO,0,2450,0,35
05-04-2020,PK,Pakistan,EMRO,609,3059,10,45
06-04-2020,PK,Pakistan,EMRO,365,3424,5,50
07-04-2020,PK,Pakistan,EMRO,581,4005,4,54
08-04-2020,PK,Pakistan,EMRO,178,4183,4,58
09-04-2020,PK,Pakistan,EMRO,306,4489,5,63
10-04-2020,PK,Pakistan,EMRO,206,4695,3,66
11-04-2020,PK,Pakistan,EMRO,275,4970,11,77
12-04-2020,PK,Pakistan,EMRO,213,5183,11,88
13-04-2020,PK,Pakistan,EMRO,313,5496,5,93
14-04-2020,PK,Pakistan,EMRO,341,5837,3,96
15-04-2020,PK,Pakistan,EMRO,151,5988,11,107
16-04-2020,PK,Pakistan,EMRO,931,6919,21,128
17-04-2020,PK,Pakistan,EMRO,106,7025,7,135
18-04-2020,PK,Pakistan,EMRO,613,7638,8,143
19-04-2020,PK,Pakistan,EMRO,355,7993,16,159
20-04-2020,PK,Pakistan,EMRO,425,8418,17,176
21-04-2020,PK,Pakistan,EMRO,1087,9505,21,197
22-04-2020,PK,Pakistan,EMRO,244,9749,12,209
23-04-2020,PK,Pakistan,EMRO,1066,10815,19,228
24-04-2020,PK,Pakistan,EMRO,340,11155,9,237
